id,lat,long,name,city,craving,tags,addresse
204,,,SEASON AMELOT,75003,cafe,vege,"67 Rue St Sabin, 75003 Paris"
208,,,Une Glace à Paris - Paris 4,75004,commerce,glace,"15 Rue Sainte-Croix de la Bretonnerie, 75004 Paris"
209,48.885403,2.33635,Une Glace à Paris - Paris 18,75018,commerce,glace,"16 Pl. des Abbesses, 75018 Paris"
211,,,Ritz Paris Le Comptoir,75001,commerce,patisserie/coeur,"38 Rue Cambon, 75001 Paris"
212,48.8680987,2.3288932,Ritz Paris,75001,cafe,patisserie/the,"15 Pl. Vendôme, 75001 Paris"
214,,,IBRIK CAFE,75009,cafe,,"43  rue Laffitte, 75009 Paris"
215,,,IBRICK KITCHEN,75002,cafe,,"9  rue de Mulhouse, 75002 Paris"
218,,,Rose Bakery Take Away,75009,cafe,,"46 Rue des Martyrs, 75009 Paris"
220,,,Rose Bakery Café,75009,cafe,patisserie,"13 Rue Manuel, 75009 Paris"
224,48.8779892,2.34015,Sébastien Gaudard,75009,commerce,patisserie,"22 Rue des Martyrs, 75009 Paris"
229,48.8479793,2.3122056,Mori Yoshida,75007,commerce,patisserie,"65 Av. de Breteuil, 75007 Paris"
230,48.8644515,2.3645631,Jacques Genin - Marais,75003,commerce,patisserie/chocolatier,"133 Rue de Turenne, 75003 Paris"
231,,,Jacques Genin - Varenne,75007,commerce,patisserie/chocolatier,"27 Rue de Varenne, 75007 Paris"
232,,,Holybelly,75010,table,coeur,"5 Rue Lucien Sampaix, 75010 Paris"
234,48.8692042,2.3664356,IMA Vegetarian Food,75010,table,vege,"39 Quai de Valmy, 75019 Paris"
236,48.866097,2.3355537,Aki Boulangerie,75001,commerce,boulangerie/patisserie/japonais,"16 Rue Sainte-Anne, 75001 Paris"
237,48.8353826,2.3201681,Hexagone Café,75014,cafe,,"121 Rue du Château, 75014 Paris"
238,48.847445,2.3413655,La Fabrique Givrée - Paris,75005,commerce,glace,"26 Rue Soufflot, 75005 Paris"
245,48.8407592,2.3471091,=82paris,75005,cafe,japonais,"11bis Rue Vauquelin, 75005 Paris"
261,48.8713341,2.3786279,Le Petit Grain,75020,commerce,boulangerie/patisserie,"7 Rue Denoyez, 75020 Paris"
263,48.8549008,2.4020551,Le Bricheton,75020,commerce,boulangerie,"50 Rue de la Réunion, 75020 Paris"
