id,lat,long,name,city,craving,tags,addresse
125,48.8766772,2.3355589,Berrie Saint-Lazare,75009,commerce,epicerie/primeur/cremerie/boucherie/vins,"39 Rue Saint-Lazare, 75009 Paris"
126,48.8899008,2.3202369,Berrie Moines,75017,commerce,epicerie/primeur/cremerie/boucherie/vins/coeur,"45 Rue des Moines, 75017 Paris"
128,48.8548442,2.3795163,Nanina,75011,commerce,cremerie,"24 Rue Basfroi, 75011 Paris"
129,48.8583952,2.372889,Ebisu Poissonnerie,75011,commerce,poissonerie,"30 Rue du Chemin Vert, 75011 Paris"
131,48.8643574,2.3420781,Restaurant Kei,75001,table,gastronomique/etoile/coeur,"5 Rue Coq Héron, 75001 Paris"
132,48.8535789,2.3807315,Septime,75011,table,etoile/coeur/neobistrot,"80 Rue de Charonne, 75011 Paris"
133,48.8536035,2.3808315,Clamato,75011,table,neobistrot/coeur,"80 Rue de Charonne, 75011 Paris"
134,48.8537257,2.3802217,Septime La Cave,75011,bar,vins,"3 Rue Basfroi, 75011 Paris"
142,48.8615012,2.341767,Restaurant yam'Tcha,75001,table,gastronomique/etoile,"121 Rue St Honoré, 75001 Paris"
144,48.8720354,2.314504,La Scène - Stéphanie Le Quellec,75008,table,gastronomique/etoile,"32 Av. Matignon, 75008 Paris"
145,48.867702,2.3373794,Sushi-B Paris,75002,table,gastronomique/japonais,"5 Rue Rameau, 75002 Paris"
148,48.876063,2.347721,NESO,75009,table,gastronomique/etoile,"6 Rue Papillon, 75009 Paris"
153,48.8673954,2.3097858,Le Clarence,75008,table,gastronomique/etoile,"31 Av. Franklin Delano Roosevelt, 75008 Paris"
165,48.8362615,2.3224834,Mosuke,75014,table,gastronomique/etoile,"11 Rue Raymond Losserand, 75014 Paris"
167,48.8801084,2.3435839,MAMICHE - Paris 9,75009,commerce,boulangerie/patisserie/coeur,"45 Rue Condorcet, 75009 Paris"
168,48.8705314,2.359621,MAMICHE - Paris 10,75010,commerce,boulangerie/patisserie/coeur,"32 Rue du Château d'Eau, 75010 Paris"
169,48.8638169,2.3606901,Bontemps,75003,cafe,patisserie/the/coeur,"57 Rue de Bretagne, 75003 Paris"
179,48.865241,2.328127,Le Meurice,75001,table,gastronomique,"228 Rue de Rivoli, 75001 Paris"
180,48.8679572,2.3331957,Cédric Grolet Opéra,75002,commerce,boulangerie/patisserie,"35 Av. de l'Opéra, 75002 Paris"
181,48.8679191,2.3473079,Boneshaker Doughnuts,75002,commerce,patisserie,"77 Rue d'Aboukir, 75002 Paris"
183,48.8649348,2.346773,Fou de Pâtisserie - Montorgueil,75002,commerce,patisserie,"45 Rue Montorgueil, 75002 Paris"
184,48.8712453,2.3628904,Du Pain et des Idées,75010,commerce,boulangerie,"34 Rue Yves Toudic, 75010 Paris"
185,48.8652898,2.3687121,Boulangerie Utopie,75011,commerce,boulangerie/patisserie,"20 Rue Jean-Pierre Timbaud, 75011 Paris"
186,48.8856653,2.3377974,Pâtisserie Gilles Marchal,75018,commerce,boulangerie/patisserie,"9 Rue Ravignan, 75018 Paris"
187,48.8675969,2.3368532,Tomo,75002,cafe,patisserie/japonais/the,"11 Rue Chabanais, 75002 Paris"
189,48.8538348,2.3239294,Des Gâteaux et du Pain - Saint Germain,75007,commerce,boulangerie/patisserie,"89 Rue du Bac, 75007 Paris"
190,48.8412244,2.3146196,Des Gâteaux et du Pain - Montparnasse,75015,commerce,boulangerie/patisserie,"63 Bd Pasteur, 75015 Paris"
191,48.8702307,2.3608404,HOUSE OF 3 BROTHERS,75010,cafe,patisserie,"23/25 Rue de Lancry, 75010 Paris"
193,48.8528028,2.3852926,La Chocolaterie Cyril Lignac - Paul Bert,75011,commerce,patisserie/chocolatier,"25 Rue Chanzy, 75011 Paris"
194,48.8789191,2.2953866,La Pâtisserie Cyril Lignac - Poncelet,75017,commerce,boulangerie/patisserie/chocolatier,"9 Rue Bayen, 75017 Paris"
195,48.8472493,2.3180121,La Pâtisserie Cyril Lignac - Sèvres,75006,commerce,boulangerie/patisserie/chocolatier,"133 Rue de Sèvres, 75006 Paris"
199,48.873503,2.364797,Ten Belles,75010,cafe,boulangerie/patisserie/torrefacteur/dwich,"10 Rue de la Grange aux Belles, 75010 Paris"
200,48.8576591,2.3737094,Ten Belles Bread,75011,commerce,boulangerie/patisserie/torrefacteur/dwich,"17-19 Rue Breguet, 75011 Paris"
201,48.8488192,2.3252547,Ten Belles 6,75006,cafe,boulangerie/patisserie/torrefacteur/dwich,"53 Rue du Cherche-Midi, 75006 Paris"
208,48.8581277,2.3563382,Une Glace à Paris - Paris 4,75004,commerce,glace,"15 Rue Sainte-Croix de la Bretonnerie, 75004 Paris"
209,48.885403,2.33635,Une Glace à Paris - Paris 18,75018,commerce,glace,"16 Pl. des Abbesses, 75018 Paris"
211,48.8688552,2.3274604,Ritz Paris Le Comptoir,75001,commerce,patisserie/coeur,"38 Rue Cambon, 75001 Paris"
212,48.8680987,2.3288932,Ritz Paris,75001,cafe,patisserie/the,"15 Pl. Vendôme, 75001 Paris"
214,48.8753047,2.3383617,IBRIK CAFE,75009,cafe,nan,"43  rue Laffitte, 75009 Paris"
215,48.8687679,2.346756,IBRICK KITCHEN,75002,table,nan,"9  rue de Mulhouse, 75002 Paris"
224,48.8779892,2.34015,Sébastien Gaudard,75009,commerce,patisserie,"22 Rue des Martyrs, 75009 Paris"
229,48.8479793,2.3122056,Mori Yoshida,75007,commerce,patisserie,"65 Av. de Breteuil, 75007 Paris"
230,48.8644515,2.3645631,Jacques Genin - Marais,75003,commerce,patisserie/chocolatier,"133 Rue de Turenne, 75003 Paris"
231,48.8538932,2.3240707,Jacques Genin - Varenne,75007,commerce,patisserie/chocolatier,"27 Rue de Varenne, 75007 Paris"
232,48.8709889,2.3598067,Holybelly,75010,table,coeur,"5 Rue Lucien Sampaix, 75010 Paris"
234,48.8692042,2.3664356,IMA CANTINE,75010,table,vege,"39 Quai de Valmy, 75019 Paris"
236,48.866097,2.3355537,Aki Boulangerie,75001,commerce,boulangerie/patisserie/japonais/dwich,"16 Rue Sainte-Anne, 75001 Paris"
237,48.8353826,2.3201681,Hexagone Café,75014,cafe,nan,"121 Rue du Château, 75014 Paris"
238,48.847445,2.3413655,La Fabrique Givrée - Paris,75005,commerce,glace,"26 Rue Soufflot, 75005 Paris"
245,48.8407592,2.3471091,+82paris,75005,cafe,japonais,"11bis Rue Vauquelin, 75005 Paris"
261,48.8713341,2.3786279,Le Petit Grain,75020,commerce,boulangerie/patisserie,"7 Rue Denoyez, 75020 Paris"
263,48.8549008,2.4020551,Le Bricheton,75020,commerce,boulangerie,"50 Rue de la Réunion, 75020 Paris"
283,48.8482223,2.354136,Boulangerie Archibald,75005,commerce,boulangerie,"28 Rue des Fossés Saint-Bernard, 75005 Paris"
284,48.8829005,2.2996108,Le Jardin Sucré,75017,commerce,patisserie/coeur,"156 Rue de Courcelles, 75017 Paris"
285,48.8540583,2.3231838,Philippe Conticini - Paris 7,75007,commerce,patisserie,"37 Rue de Varenne, 75007 Paris"
287,48.8575218,2.2780423,Philippe Conticini - Paris 16,75016,commerce,patisserie,"42 RUE DE L'ANNONCIATION, 75016 Paris"
294,48.8630628,2.3607602,Gramme 3,75003,table,neobistrot,"86 Rue des Archives, 75003 Paris"
295,48.8469687,2.3261043,Colorova,75006,table,neobistrot/coeur,"47 Rue de l'Abbé Grégoire, 75006 Paris"
296,48.8570675,2.3746599,Pâtisserie Emma Duvéré,75011,cafe,patisserie,"41 Rue Sedaine, 75011 Paris"
302,48.8719279,2.3661899,Sain Boulangerie,75010,commerce,boulangerie,"15 Rue Marie et Louise, 75010 Paris"
303,48.864806,2.3728472,The French Bastards - Oberkampf,75011,commerce,boulangerie/patisserie/dwich,"61 Rue Oberkampf, 75011 Paris"
304,48.8656446,2.350488,The French Bastards - Saint-Denis,75002,commerce,boulangerie/patisserie/dwich,"181 Rue Saint-Denis, 75002 Paris"
305,48.8779588,2.288111618953488,The French Bastards - Saint-Ferdinand,75017,commerce,boulangerie/patisserie/dwich,"35 Pl. Saint-Ferdinand, 75017 Paris"
306,48.863387,2.3724971,Fermentation Générale,75011,commerce,boulangerie,"37 Rue de la Folie Méricourt, 75011 Paris"
323,48.8678568,2.3480217,Plaq,75002,commerce,patisserie/coeur/chocolatier,"4 Rue du Nil, 75002 Paris"
324,48.8672734,2.3441784,Tartelettes,75002,commerce,patisserie,"102 Rue Montmartre, 75002 Paris"
325,48.8912569,2.3379019,Atelier P1,75018,commerce,boulangerie,"157 Rue Marcadet, 75018 Paris"
326,48.880248,2.3413031,Babka Zana,75009,commerce,boulangerie/patisserie,"65 Rue Condorcet, 75009 Paris"
328,48.8639329,2.4423521,Fournil Éphémère L'Atelier,93100,commerce,boulangerie,"11 Rue de l'Église, 93100 Montreuil"
329,48.8672831,2.3853019,Elements pain bio,75020,commerce,boulangerie,"3 Rue Victor Letalle, 75020 Paris"
339,48.8851843,2.3396317,Shinya Pain Montmartre,75018,commerce,boulangerie,"41 Rue des Trois Frères, 75018 Paris"
342,48.8652663,2.366502,Dreamin man,75011,cafe,nan,"140 Rue Amelot, 75011 Paris"
355,48.8849882,2.3113731,Léonie - Levis,75017,commerce,boulangerie/patisserie,"96 Rue de Lévis, 75017 Paris"
